F_id,f63,f189,f77,f162,f176,f88,f228,f214,f200,f201,f215,f229,f177,f89,f163,f188,f76,f62,f74,f60,f48,f149,f175,f161,f203,f217,f216,f202,f160,f174,f148,f49,f61,f75,f59,f71,f65,f170,f164,f158,f206,f212,f213,f207,f159,f165,f171,f64,f70,f58,f8,f198,f66,f72,f167,f99,f173,f211,f205,f239,f238,f204,f210,f172,f166,f98,f73,f199,f67,f9,f14,f28,f129,f101,f115,f303,f317,f288,f277,f263,f262,f276,f289,f316,f302,f114,f100,f128,f29,f15,f17,f116,f102,f314,f300,f248,f260,f274,f275,f261,f249,f301,f315,f103,f117,f16,f12,f113,f107,f311,f305,f265,f271,f259,f258,f270,f264,f304,f310,f106,f112,f13,f39,f11,f104,f110,f138,f306,f312,f299,f272,f266,f267,f273,f298,f313,f307,f139,f111,f105,f10,f38,f21,f35,f108,f120,f134,f295,f281,f256,f242,f243,f257,f280,f294,f135,f121,f109,f34,f20,f36,f22,f137,f123,f309,f282,f296,f269,f241,f255,f254,f240,f268,f297,f283,f320,f308,f122,f136,f23,f37,f33,f27,f132,f126,f318,f287,f293,f244,f250,f278,f279,f251,f245,f292,f286,f319,f127,f133,f26,f32,f18,f24,f30,f125,f131,f119,f290,f284,f253,f247,f246,f252,f285,f291,f118,f130,f124,f31,f25,f19,f42,f4,f56,f180,f194,f81,f95,f143,f157,f209,f235,f221,f220,f234,f208,f156,f142,f94,f80,f195,f181,f5,f57,f43,f55,f7,f41,f69,f197,f183,f96,f168,f82,f154,f140,f222,f236,f237,f223,f141,f155,f83,f97,f169,f182,f68,f196,f40,f54,f6,f192,f78,f186,f2,f50,f44,f151,f145,f93,f87,f179,f227,f233,f232,f226,f86,f178,f92,f144,f150,f45,f3,f51,f79,f187,f193,f185,f191,f47,f53,f1,f146,f152,f84,f90,f230,f224,f218,f219,f225,f231,f91,f85,f153,f147,f52,f46,f190,f184
f199,8,12,15,10,5,11,9,13,4,17,13,7,6,12,10,9,9,6,8,10,10,8,6,5,13,11,4,12,9,5,5,7,10,8,12,10,11,4,8,8,14,12,9,12,4,5,11,11,6,11,5,8,10,6,10,6,7,12,8,8,13,13,13,4,9,7,10,0,10,7,5,8,6,8,7,18,8,10,11,10,14,14,12,10,25,7,5,3,7,5,6,10,8,9,7,13,4,8,8,13,14,13,15,12,8,6,6,8,7,6,6,9,12,5,12,9,15,7,9,8,9,5,8,6,14,7,3,8,13,8,12,11,11,13,13,5,10,6,6,8,2,7,7,9,4,10,3,12,14,14,9,8,16,11,16,12,6,2,9,5,10,5,4,4,11,12,12,4,11,13,12,7,27,14,11,14,10,5,9,7,5,5,8,8,2,13,8,13,16,11,10,6,11,12,14,11,14,2,5,7,5,7,5,7,4,8,9,20,13,13,12,9,10,9,12,3,4,7,6,8,8,7,5,12,8,9,5,6,5,8,9,4,14,7,18,14,7,5,6,8,9,5,3,10,12,10,4,7,5,11,4,6,6,7,8,6,13,10,13,4,5,9,8,6,10,10,9,8,6,13,4,5,8,4,5,8,12,4,9,8,12,10,19,15,12,11,5,5,8,10,3,8,6,13,6,2,8,6,6,9,12,4,10,4,10,10,5,9,7,14,10,13,10,6,7,5,13,7,8,2
f67,4,4,9,8,7,9,7,5,6,9,3,9,8,8,2,7,7,4,8,6,4,4,8,11,5,5,8,6,9,9,5,7,4,8,2,10,3,6,6,4,6,4,7,4,6,5,3,1,8,3,7,4,4,6,8,10,9,4,8,4,9,5,3,6,3,9,8,10,0,9,9,4,6,6,9,8,8,4,9,6,10,6,4,12,15,9,9,9,5,9,10,4,6,9,7,11,8,8,6,5,6,5,9,8,6,10,10,8,7,4,10,9,4,7,6,9,7,7,7,8,7,9,12,10,4,7,9,8,5,8,4,7,5,3,5,5,8,4,6,4,12,11,7,11,10,6,7,10,10,6,5,12,6,5,8,4,6,10,11,9,12,7,8,8,5,4,2,6,5,3,4,9,19,6,5,4,6,7,5,9,9,9,6,8,10,3,6,5,8,7,6,10,5,6,6,5,6,12,9,9,9,9,9,5,8,12,7,10,9,7,10,5,10,11,4,9,10,11,10,8,12,5,7,4,8,7,9,10,7,4,7,8,6,5,12,6,11,9,8,6,7,7,11,4,6,6,6,7,9,5,10,10,10,9,8,10,3,2,9,8,9,9,8,10,4,6,1,6,10,3,12,9,6,10,5,8,4,8,5,12,8,4,11,7,4,9,9,7,6,4,9,6,4,3,6,10,8,8,8,3,4,8,4,8,6,6,9,7,7,6,4,5,14,10,7,9,3,9,2,10
f9,9,13,14,9,6,14,12,12,7,18,10,14,9,13,11,12,8,7,9,13,11,11,7,2,12,12,11,15,2,4,10,12,7,7,11,3,8,11,7,9,15,9,12,13,11,8,12,10,9,10,12,11,9,7,11,7,4,11,15,13,18,12,10,11,10,8,11,7,9,0,4,7,7,11,6,17,15,9,16,11,17,15,11,17,20,6,6,4,4,4,7,7,11,16,14,18,11,15,5,12,15,12,18,11,11,3,3,11,10,11,9,14,9,12,15,14,16,12,12,11,12,4,3,3,9,6,4,13,10,9,11,16,14,12,10,6,13,9,9,7,5,4,4,2,9,5,8,17,19,9,12,15,13,14,15,11,7,7,2,4,3,8,7,9,10,11,11,11,10,10,9,14,20,15,14,13,13,8,6,0,4,4,5,5,9,12,5,14,17,14,13,9,12,7,13,6,15,7,4,0,4,8,4,6,5,3,4,17,18,16,17,12,17,16,13,10,3,2,5,1,3,10,8,9,3,10,4,5,8,11,12,9,15,10,15,13,8,8,7,9,12,6,6,9,13,9,11,8,12,14,9,5,7,8,9,5,10,11,18,11,4,10,9,9,13,3,8,11,3,12,5,10,9,9,10,9,13,11,8,3,13,9,14,14,13,16,4,8,9,9,10,9,9,12,7,7,11,11,13,8,13,5,7,7,11,11,10,8,8,15,9,12,5,5,8,6,12,10,9,7
f14,7,11,12,5,4,10,8,10,5,16,8,12,5,9,9,8,4,7,5,9,9,7,7,6,10,8,9,13,4,0,8,10,5,3,9,5,6,9,5,7,13,7,8,11,9,6,10,8,7,8,10,9,7,3,7,3,2,9,13,13,14,10,8,9,8,4,7,5,9,4,0,5,5,7,2,15,13,7,12,7,13,13,9,15,20,2,2,2,4,0,3,5,7,12,12,14,9,13,3,10,13,10,16,9,7,1,3,7,6,11,9,10,7,10,13,10,14,8,8,7,8,0,5,1,9,4,2,9,8,5,9,12,10,10,8,6,9,7,7,7,5,2,2,4,7,9,6,13,15,9,8,13,11,10,13,9,5,5,4,0,5,8,5,7,8,9,9,9,8,8,7,12,22,13,12,11,9,6,4,4,0,0,3,3,7,10,7,12,15,10,9,5,10,7,11,6,13,7,0,4,0,4,2,4,3,5,8,15,14,14,13,8,13,14,11,8,3,2,1,5,3,6,8,7,7,6,0,1,10,7,8,9,13,6,15,11,4,8,3,5,8,4,6,7,11,7,9,4,10,12,7,1,3,4,5,1,8,11,14,9,0,6,5,5,11,7,8,7,3,10,7,8,5,7,8,5,11,9,6,3,9,7,14,12,11,12,0,6,5,7,8,5,9,10,3,5,7,9,11,6,11,3,9,7,7,7,8,4,4,13,7,10,7,1,4,2,10,6,9,5
f28,4,6,9,8,9,9,7,7,4,11,5,11,8,8,4,7,7,4,4,8,6,6,10,9,7,7,10,8,5,5,7,9,4,6,4,6,5,8,6,4,8,6,7,6,8,7,5,3,6,3,9,6,6,2,8,6,7,6,12,8,11,7,5,8,5,5,6,8,4,7,5,0,8,6,5,10,12,6,11,6,12,8,6,14,17,5,5,7,3,5,8,4,6,11,11,13,10,12,2,7,8,7,11,10,6,6,8,8,7,8,12,9,6,9,8,9,9,7,7,8,7,5,10,6,6,5,7,8,5,4,6,9,7,5,7,3,8,6,8,8,10,7,3,7,12,8,5,12,12,8,7,14,8,7,10,6,8,10,7,5,8,5,8,10,7,6,4,8,7,5,6,11,21,8,7,6,8,9,5,7,5,5,2,4,10,5,6,7,10,9,8,6,7,6,8,5,8,10,5,7,5,9,5,1,8,10,9,12,11,9,12,7,12,15,6,11,8,7,6,6,8,5,9,6,10,9,5,6,9,6,7,8,8,7,14,8,9,11,4,4,7,9,11,4,8,8,8,7,11,7,12,6,6,5,8,6,5,6,11,10,5,9,6,6,6,6,3,8,8,5,12,11,4,12,7,8,6,10,5,8,8,6,13,9,6,11,5,9,4,6,11,8,6,5,2,10,10,10,10,3,6,6,8,10,6,6,11,7,7,8,6,7,12,6,7,5,5,9,6,10
f129,4,8,13,4,1,7,5,7,4,13,7,7,2,8,6,5,3,4,8,6,6,4,2,7,7,7,6,10,7,5,3,5,6,4,8,8,5,4,2,4,10,6,5,8,4,1,7,7,6,9,5,6,4,6,4,8,5,6,8,8,11,7,7,4,5,9,8,6,6,7,5,8,0,4,7,14,8,4,9,6,10,10,6,10,19,5,7,3,7,5,4,6,4,9,7,11,4,8,8,7,10,7,13,6,4,6,6,6,3,6,4,7,6,5,10,7,11,5,5,4,5,5,8,6,8,3,3,6,9,8,6,9,7,9,7,9,6,2,4,2,6,7,5,9,4,6,5,10,12,8,5,8,10,7,10,6,0,4,9,5,10,7,4,2,5,6,8,4,5,7,6,7,21,10,9,10,6,1,3,7,5,5,6,6,6,9,6,9,12,7,6,8,7,8,8,7,10,8,5,7,5,3,5,7,2,8,3,14,11,11,10,5,10,9,8,5,4,7,6,6,8,3,3,6,4,3,5,6,5,4,5,8,10,3,12,8,5,3,8,6,5,1,5,8,8,4,4,1,5,9,4,6,4,9,2,6,7,6,11,4,5,3,8,8,8,6,7,4,6,9,6,3,6,4,3,2,8,6,3,8,8,4,13,9,8,9,5,1,6,4,5,2,4,9,6,4,4,4,6,7,8,2,4,4,6,6,3,5,1,10,4,7,10,6,1,3,9,3,4,4
f101,2,4,11,6,5,3,3,7,4,11,7,7,4,4,4,1,5,4,6,4,2,2,6,11,7,5,6,8,9,7,3,3,8,6,6,10,7,4,4,2,8,8,3,6,4,3,5,5,4,7,3,4,6,4,4,6,7,6,8,8,9,7,7,4,3,5,4,8,6,11,7,6,4,0,7,12,8,6,5,4,6,8,6,8,19,7,7,7,9,7,6,8,0,7,7,7,6,8,8,7,8,7,11,6,2,8,10,4,3,6,8,3,8,5,8,3,9,3,3,4,3,7,12,8,8,5,7,4,9,6,6,7,5,7,9,9,4,2,4,6,10,9,7,11,8,10,5,8,10,10,3,8,10,5,10,6,4,8,11,7,12,5,6,6,7,6,6,4,7,7,8,7,23,8,7,8,4,5,5,11,7,7,8,8,6,7,10,7,10,5,4,6,5,10,8,9,8,8,7,11,7,5,7,7,6,12,7,14,9,9,6,3,6,9,6,7,8,9,8,10,10,1,7,8,8,5,7,8,7,2,3,6,8,3,14,8,7,7,6,4,3,5,9,6,4,6,4,3,5,7,8,8,6,7,4,8,7,6,9,6,7,5,6,4,6,10,7,4,10,7,10,7,4,8,3,4,6,6,3,10,4,6,15,9,6,7,7,5,4,6,7,4,4,7,4,8,6,6,4,5,6,6,8,8,4,4,7,7,3,8,6,7,14,8,3,5,7,5,4,8
f115,7,11,10,5,6,8,6,8,5,14,6,12,7,7,9,8,4,7,3,7,9,7,9,8,8,6,9,11,6,2,8,10,7,3,9,7,8,9,7,7,11,9,6,9,9,8,10,8,7,8,10,9,9,3,5,5,4,7,13,13,12,8,6,9,8,4,5,7,9,6,2,5,7,7,0,13,13,9,10,5,11,11,7,15,18,2,4,4,4,2,5,7,7,12,12,12,11,13,3,8,11,8,14,9,5,3,5,5,6,11,11,8,7,10,11,8,12,8,6,7,6,2,7,3,9,6,4,9,6,3,7,10,8,8,8,6,7,7,7,9,7,4,4,6,9,11,6,11,13,9,6,15,9,8,11,7,7,7,6,2,7,8,5,9,8,7,7,9,10,6,7,12,22,11,12,9,7,8,6,6,2,2,5,5,9,8,9,10,13,8,7,3,8,7,9,8,11,9,2,6,2,6,4,6,5,7,10,13,12,12,11,6,13,16,9,10,5,4,3,7,5,6,10,7,9,6,2,3,12,7,6,9,11,8,15,9,4,10,3,3,6,6,8,7,9,7,9,6,12,12,9,3,3,2,7,3,6,11,12,11,2,6,3,5,11,9,8,7,5,8,9,10,3,9,8,7,9,9,6,5,7,9,14,10,9,10,2,8,3,9,10,7,9,8,3,7,9,9,11,6,9,5,11,9,5,5,10,4,6,11,9,8,9,1,6,4,8,8,9,7
f303,10,8,7,12,15,11,11,7,14,3,7,15,14,10,8,13,11,12,12,8,10,10,16,19,7,9,16,8,15,15,13,15,10,12,6,16,9,14,12,10,6,8,11,6,14,13,7,7,16,7,15,10,10,12,12,16,15,8,14,10,9,7,7,14,9,15,12,18,8,17,15,10,14,12,13,0,14,10,11,8,10,6,8,18,7,13,15,17,13,15,16,10,12,13,13,11,16,14,12,7,6,7,9,10,10,16,18,12,13,12,18,13,8,15,8,13,7,13,11,14,11,15,20,16,8,13,17,14,7,12,8,9,7,5,7,13,10,12,14,12,20,17,13,17,18,14,15,10,10,8,9,18,6,7,8,8,14,18,17,15,18,15,16,16,9,8,6,14,9,7,8,15,15,6,9,4,8,15,11,17,15,15,12,14,18,5,14,7,4,9,8,14,7,10,8,11,6,20,15,17,15,15,15,11,16,20,15,4,9,7,12,9,14,17,6,17,18,17,16,16,18,11,15,8,16,11,15,16,15,10,11,16,6,11,8,6,15,17,14,10,11,15,19,8,8,10,14,13,17,9,18,16,14,11,14,16,7,8,9,16,15,13,12,16,8,14,9,12,18,5,20,17,10,18,13,14,6,16,11,18,10,10,7,7,6,11,15,15,10,10,17,12,12,5,12,18,12,16,16,9,6,16,12,16,8,10,17,11,13,6,10,7,22,14,13,15,5,15,10,18
f317,8,10,15,10,9,9,7,9,8,11,11,1,8,10,8,7,11,8,12,8,8,6,8,13,9,7,4,6,15,13,5,5,12,12,10,16,11,4,10,8,8,10,7,8,4,7,7,9,8,11,5,6,10,10,8,12,13,10,0,4,5,9,11,4,7,11,10,8,8,15,13,12,8,8,13,14,0,10,7,10,6,8,10,4,19,13,11,11,13,13,10,12,8,1,1,5,4,0,14,9,8,9,7,12,8,14,14,8,7,4,6,7,12,3,6,7,9,5,7,6,7,13,16,14,12,11,11,4,13,10,10,5,7,11,11,11,6,6,6,8,10,15,13,17,6,12,7,4,6,12,7,4,14,7,10,10,8,8,17,13,18,9,8,6,11,10,10,4,9,11,12,1,23,8,5,12,8,7,11,15,13,13,14,14,8,9,12,7,10,7,6,10,9,14,8,13,8,10,13,15,13,9,13,13,10,16,11,16,5,7,4,7,2,3,8,5,12,15,14,14,16,7,7,12,12,9,13,12,7,6,7,8,8,7,14,10,11,7,10,10,7,9,9,10,10,10,4,9,5,5,6,14,12,13,8,14,11,8,5,4,13,9,10,10,8,14,9,6,14,11,10,5,10,6,5,8,10,4,9,16,10,10,17,9,8,3,13,7,10,10,5,8,6,11,10,8,6,4,4,9,10,10,10,8,10,8,5,11,9,8,10,9,18,14,9,11,11,7,6,8
f288,4,4,11,6,5,9,7,3,8,9,3,11,4,10,2,7,5,6,10,6,4,4,6,9,3,7,10,6,7,7,7,9,2,6,4,8,1,8,2,4,6,2,7,4,8,5,3,3,10,5,9,4,0,8,6,10,7,2,10,6,9,3,3,8,3,11,10,10,4,9,7,6,4,6,9,10,10,0,9,8,10,6,2,14,15,7,9,7,7,7,6,2,6,9,9,11,8,10,6,3,6,3,9,4,6,8,10,8,5,6,8,9,2,9,6,9,7,7,7,6,7,7,12,8,4,3,7,8,5,10,2,7,5,5,3,9,8,6,8,2,10,9,5,9,8,6,9,10,10,4,5,12,6,5,6,2,4,8,9,7,10,9,8,6,1,2,4,8,1,3,2,11,17,6,5,6,6,5,3,9,7,7,4,6,10,5,4,5,8,7,6,10,5,4,4,3,6,12,7,9,7,5,5,5,6,12,5,10,9,7,10,5,10,11,4,9,8,9,8,8,10,5,5,2,6,3,7,8,7,4,7,10,6,3,8,4,7,7,10,8,7,5,9,6,6,2,8,3,9,5,8,8,6,11,4,8,3,4,9,8,7,5,10,10,4,6,5,4,10,5,10,7,8,8,7,4,4,10,3,10,10,0,9,5,4,9,7,5,8,0,9,2,6,5,8,8,4,8,10,5,4,6,2,6,8,8,7,5,3,6,0,3,14,8,3,5,5,5,4,8
f277,7,5,10,7,10,2,4,8,9,10,8,8,7,3,7,4,8,9,9,3,5,5,9,16,8,4,7,7,14,12,6,4,11,9,7,15,10,7,9,7,7,11,4,7,7,8,8,8,7,8,6,5,9,9,5,9,12,7,7,9,4,8,8,7,6,8,5,11,9,16,12,11,9,5,10,11,7,9,0,5,3,7,7,9,18,10,10,12,14,12,9,11,5,6,8,2,7,7,13,8,7,8,6,5,5,13,15,5,6,7,9,2,9,8,7,2,8,4,4,5,4,12,17,13,9,10,12,5,8,7,7,6,6,6,10,14,5,7,7,9,13,14,12,16,9,15,8,3,5,11,4,9,11,6,9,7,9,11,16,12,17,10,9,9,8,7,7,7,10,8,9,8,24,7,8,7,3,8,10,16,12,12,13,13,9,8,13,8,9,2,5,7,4,11,9,12,7,11,12,16,12,8,12,12,11,17,12,13,4,6,3,4,5,8,7,8,13,14,13,15,15,6,10,9,13,6,12,11,10,5,4,9,7,6,13,7,8,10,9,7,4,10,12,7,3,7,7,8,6,8,9,13,9,8,7,13,8,7,4,7,12,6,7,7,5,15,10,5,15,6,13,8,7,9,6,7,5,7,8,15,3,9,16,8,7,4,12,8,7,9,8,7,7,6,9,11,7,7,5,8,5,11,11,11,5,5,8,8,8,7,9,8,19,11,8,10,6,6,7,11
f263,4,6,7,4,7,3,3,7,6,9,5,9,6,2,6,5,3,6,4,2,6,4,8,13,7,3,8,8,9,7,5,7,8,4,4,10,7,6,6,4,6,8,3,6,6,5,7,5,8,5,7,6,8,4,4,8,7,6,10,10,7,7,5,6,5,7,4,10,6,11,7,6,6,4,5,8,10,8,5,0,6,6,6,12,15,5,7,9,9,7,8,8,4,9,9,7,8,10,8,7,6,7,9,6,2,8,10,4,5,8,10,5,6,7,8,5,7,5,3,6,3,7,12,8,6,7,9,6,5,4,6,7,5,3,7,9,4,4,6,8,12,9,7,11,10,10,7,6,8,8,3,12,8,5,8,6,6,10,11,7,12,9,8,8,7,6,4,6,9,5,6,9,21,6,9,4,2,7,5,11,7,7,8,8,10,5,12,7,8,3,4,6,3,8,8,9,6,12,7,11,7,7,9,7,8,12,9,10,7,7,8,3,10,13,6,9,10,9,8,10,10,3,9,6,10,5,7,8,9,4,3,10,6,5,12,6,7,9,6,2,3,7,11,4,4,6,6,5,9,9,10,8,6,3,6,8,5,6,7,8,7,5,4,8,6,10,7,6,10,3,12,9,2,10,5,6,4,8,5,10,2,8,13,7,6,7,7,7,2,8,9,6,6,3,4,10,8,8,8,5,4,8,10,10,0,2,9,5,5,6,8,7,14,6,5,7,3,7,6,10
f262,8,6,11,8,11,3,5,7,10,7,9,7,10,4,8,5,9,10,10,4,6,6,12,17,7,5,10,6,15,13,9,7,12,10,8,16,11,10,10,8,4,10,5,6,10,9,7,9,8,9,9,8,10,10,6,10,13,8,6,10,3,7,9,10,7,9,6,14,10,17,13,12,10,6,11,10,6,10,3,6,0,4,8,8,15,11,11,13,15,13,10,12,6,5,7,1,10,6,14,7,4,7,5,6,6,14,16,6,9,10,12,5,10,9,6,5,5,7,5,8,5,13,18,14,10,11,13,6,9,8,8,5,5,7,9,15,4,8,8,10,16,15,13,17,12,16,11,2,4,10,5,8,12,5,6,8,10,14,17,13,18,11,12,12,9,8,8,10,9,9,10,7,21,4,7,8,4,11,11,17,13,13,14,14,12,7,14,5,6,3,4,8,5,12,6,13,4,14,13,17,13,9,13,13,12,18,13,12,3,5,2,5,4,7,6,11,14,15,14,16,16,7,13,10,14,7,13,12,13,6,5,12,4,7,10,6,9,13,10,8,5,11,15,8,4,8,10,9,9,7,12,14,10,9,8,14,9,8,3,10,13,7,8,8,8,16,11,8,16,7,16,11,8,12,9,8,6,10,9,16,4,10,15,5,6,3,13,11,8,10,11,8,10,7,10,14,8,10,8,9,6,12,12,14,6,6,11,9,9,4,10,7,20,12,9,11,7,9,8,14
f276,6,4,9,10,11,7,7,3,10,3,5,9,10,8,4,9,9,8,10,4,6,6,12,15,3,7,12,2,13,13,9,11,8,10,4,14,7,10,8,6,0,6,7,2,10,9,3,5,12,5,11,6,6,10,8,14,13,4,8,6,3,3,5,10,5,13,10,14,6,15,13,8,10,8,11,6,8,6,7,6,4,0,4,12,11,11,13,13,11,13,12,8,8,7,7,5,12,8,10,3,0,3,3,6,6,14,16,8,9,8,14,9,6,9,2,9,1,9,7,10,7,13,18,14,6,9,13,8,5,10,4,3,3,3,5,11,6,8,10,8,16,15,11,15,14,12,11,4,4,6,5,12,8,3,2,4,10,14,15,13,16,11,12,12,5,4,4,10,5,5,6,9,17,0,3,4,4,11,9,15,13,13,10,12,14,3,10,1,2,5,4,10,3,8,2,9,0,16,13,15,13,11,11,9,12,18,11,8,3,1,6,5,8,11,2,13,14,15,14,14,16,7,11,6,12,7,13,14,11,6,7,12,0,7,6,2,11,13,12,8,7,11,15,6,4,6,10,9,13,3,14,14,10,9,10,14,5,4,3,12,13,9,10,12,4,12,7,8,16,3,16,13,8,14,9,10,2,12,7,16,8,6,11,1,2,5,13,11,8,6,13,8,8,3,10,14,8,12,12,7,2,12,8,12,6,8,13,9,9,0,6,3,20,12,9,11,3,11,6,14
f289,4,4,9,6,7,7,5,1,8,7,1,11,6,8,2,7,5,6,8,4,4,4,8,11,1,5,10,4,9,9,7,9,4,6,4,10,3,8,4,4,4,4,5,2,8,7,3,3,10,5,9,4,2,8,4,12,9,0,10,6,7,1,1,8,3,11,8,12,4,11,9,6,6,6,7,8,10,2,7,6,8,4,0,14,13,7,11,9,7,9,8,4,6,9,9,9,10,10,6,1,4,1,7,4,4,10,12,6,5,6,10,7,2,9,4,7,5,7,5,6,5,9,14,10,4,5,9,8,3,8,0,5,3,3,3,9,6,6,8,4,12,11,7,11,10,8,9,8,8,4,3,14,4,3,4,0,6,10,11,9,12,9,8,8,1,0,2,8,3,1,2,11,17,4,5,4,4,7,5,11,9,9,6,8,12,3,6,3,6,5,4,8,3,4,2,5,4,14,9,11,9,7,7,7,8,14,7,8,7,5,8,3,10,13,2,11,10,11,10,10,12,5,7,2,8,3,9,10,9,4,5,10,4,5,8,2,7,9,10,6,5,7,11,6,4,2,8,5,11,5,10,10,6,9,6,10,1,4,7,10,9,5,8,10,4,8,5,4,12,3,12,9,6,10,7,6,2,10,3,12,8,2,9,3,2,7,9,7,6,2,11,4,6,3,8,10,6,8,10,5,2,8,4,8,6,6,9,5,5,4,2,1,16,8,5,7,3,7,4,10
f316,10,12,19,12,11,9,9,13,10,15,15,3,10,10,12,7,13,10,14,12,10,10,10,15,13,11,6,10,17,15,7,5,16,14,14,18,15,6,12,10,12,14,9,12,6,9,11,13,8,15,5,10,14,12,10,12,15,14,4,8,9,13,15,6,11,11,10,10,12,17,15,14,10,8,15,18,4,14,9,12,8,12,14,0,23,15,13,13,15,15,12,16,8,5,5,7,6,4,16,13,12,13,11,14,10,16,16,10,9,8,8,7,16,5,10,7,13,7,9,8,9,15,18,16,16,13,13,6,17,12,14,9,11,15,15,13,8,8,8,12,12,17,15,19,8,14,9,8,10,16,11,2,18,11,14,14,10,10,19,15,20,9,10,8,15,14,14,6,13,15,16,3,27,12,9,16,12,9,13,17,15,15,16,16,8,13,16,11,14,11,10,12,13,18,12,17,12,10,15,17,15,11,15,15,12,18,13,20,9,11,6,11,4,3,12,7,14,17,16,16,18,9,9,16,14,13,15,14,9,10,9,8,12,11,18,14,13,9,12,12,9,11,11,14,12,14,6,11,5,9,8,16,14,15,10,16,15,12,9,6,15,11,12,10,12,16,13,10,16,15,12,7,12,8,7,10,14,6,11,18,10,14,21,13,12,7,15,9,12,14,7,12,8,15,12,10,10,6,4,13,14,12,14,10,12,10,7,15,11,12,14,13,20,16,11,13,15,9,10,10
f302,17,15,12,17,20,18,18,12,21,8,12,20,19,17,15,20,16,19,19,15,17,17,21,22,12,16,23,13,18,20,20,22,15,17,13,19,14,21,17,17,11,13,18,13,21,20,14,14,23,14,22,17,15,19,17,23,18,13,19,17,14,12,12,21,16,22,19,25,15,20,20,17,19,19,18,7,19,15,18,15,15,11,13,23,0,18,22,22,18,20,21,15,19,18,18,16,23,19,17,12,11,12,12,15,17,19,23,19,18,19,23,20,13,20,13,20,10,20,18,19,18,20,23,19,11,18,22,19,12,19,13,14,14,12,12,20,17,19,21,17,25,22,18,20,23,17,22,15,13,11,16,23,9,14,9,13,19,23,20,20,21,22,21,21,14,13,13,21,14,12,13,20,8,11,14,11,15,20,16,20,20,20,17,19,25,12,17,12,9,16,15,21,14,13,11,14,11,27,20,20,20,20,20,18,21,23,18,7,14,12,17,16,19,22,13,24,23,20,21,19,21,18,20,13,19,16,20,21,22,17,18,23,11,18,7,11,20,22,21,17,18,20,24,15,15,15,21,18,24,14,23,21,19,18,19,21,12,15,14,23,20,18,19,23,15,17,16,17,23,12,23,22,17,23,20,19,13,23,16,21,17,15,8,10,13,16,20,20,17,15,24,17,19,12,19,23,17,21,23,16,13,21,17,21,15,17,22,16,18,11,15,12,25,19,18,20,12,20,17,23
f114,7,11,10,3,6,8,6,8,5,14,6,12,5,7,9,8,2,7,3,7,9,7,7,8,8,6,11,11,4,2,8,10,5,1,9,5,6,9,5,7,11,7,6,9,9,6,10,8,7,8,10,9,7,3,5,5,4,7,13,13,12,8,6,9,8,6,5,7,9,6,2,5,5,7,2,13,13,7,10,5,11,11,7,15,18,0,4,4,6,2,5,5,7,12,12,12,9,13,5,8,11,8,14,7,5,3,5,7,6,11,9,8,5,10,11,8,12,8,6,7,6,2,7,3,9,4,4,9,6,3,7,10,8,8,6,8,7,7,9,7,7,4,2,6,9,9,6,11,13,7,6,13,9,8,11,7,5,7,6,2,7,8,7,7,6,7,7,9,8,6,5,12,20,11,12,9,7,6,4,6,2,2,3,3,9,8,7,10,13,8,7,5,8,5,9,6,11,9,2,6,2,6,4,4,5,7,8,13,12,12,11,6,13,14,9,10,5,4,3,5,5,6,8,5,9,4,2,3,10,7,6,11,11,6,13,9,4,8,5,3,6,6,8,7,9,5,9,4,10,12,9,3,1,4,5,3,6,11,12,9,2,4,5,7,11,7,8,7,5,8,9,8,3,9,8,5,9,11,6,5,7,7,12,10,9,10,2,6,3,7,10,5,9,8,3,7,7,9,11,6,9,3,9,9,5,5,8,2,4,11,7,8,9,1,4,2,8,6,9,7
f100,7,11,12,5,6,8,6,12,5,16,10,10,7,7,9,6,6,7,5,9,9,7,9,8,12,6,7,13,6,2,8,8,7,5,9,7,8,9,7,7,13,9,6,11,9,6,10,8,5,8,10,9,9,3,7,1,4,11,11,13,12,12,10,9,8,2,5,5,9,6,2,5,7,7,4,15,11,9,10,7,11,13,11,13,22,4,0,4,6,2,3,7,7,10,12,12,7,11,5,12,13,12,14,11,7,3,5,5,8,11,9,8,9,10,13,8,14,6,6,7,6,2,7,3,11,6,4,7,10,3,11,12,10,10,10,6,7,7,5,9,7,4,4,6,7,11,6,11,13,11,8,11,13,10,15,11,7,7,6,2,7,8,7,9,10,11,9,9,10,10,9,10,24,13,12,11,9,8,6,6,2,2,5,5,7,10,9,12,15,8,9,3,10,9,13,8,13,7,2,6,2,4,4,4,5,7,10,17,12,14,11,8,11,12,11,6,5,4,3,7,5,6,10,9,9,8,2,1,10,7,6,9,13,6,17,13,4,10,1,5,6,6,8,7,11,9,9,6,8,12,7,3,5,4,5,3,10,11,12,7,2,6,3,3,11,9,8,9,5,10,9,8,5,7,8,5,11,7,8,5,7,9,16,14,11,10,2,8,5,9,6,7,9,10,3,7,9,9,9,6,11,5,11,9,7,5,8,6,6,13,9,12,9,3,6,4,10,6,9,7
